名称,上限,消耗,效果,解锁层数
昆虫天堂,6,"${ 仅浆果: 750M  \cdot  {(2.4)}^{lvl}, 花瓣: \text{四舍五入}({(1.75)}^{lvl}  \cdot  11) }$",虫子容量+｛$lvl  \cdot  40$｝; 蝴蝶容量+｛$lvl  \cdot  5$｝; 瓢虫容量+｛$lvl  \cdot  30$｝,11
黄金工具,,${ 黄金: \text{四舍五入}({(1.25)}^{lvl}  \cdot  350) }$,作物增益*｛$lvl  \cdot  0.1 + 1$｝,11
蝴蝶翅膀,6,${ 蝴蝶: \text{四舍五入}({(1.35)}^{lvl}  \cdot  14) }$,花瓣容量+｛$lvl  \cdot  15$｝,12
肥沃之地,,"${ 仅浆果: 4B  \cdot  {(2.25)}^{lvl}, 仅鲜花: 3.3B  \cdot  {(2.25)}^{lvl} }$",仅蔬菜增益*｛$lvl  \cdot  0.1 + 1$｝,12
风车,1,"${ 仅鲜花: 250B, 花瓣: 150, 瓢虫: 50 }$",风车farmBuilding｛$lvl$｝,13
神秘之地,,"${ 仅蔬菜: 37.5B  \cdot  {(2.25)}^{lvl}, 瓢虫: \text{四舍五入}({(1.12)}^{lvl}  \cdot  10) }$",仅粮食增益*｛$lvl  \cdot  0.1 + 1$｝; 瓢虫容量+｛$lvl  \cdot  20$｝,13
化肥袋,1,${ 黄金: 700 }$,除草剂findConsumable｛$lvl >= 1$｝; 涡轮生长findConsumable｛$lvl >= 1$｝; 高级findConsumable｛$lvl >= 1$｝,14
大箱子,10,"${ 仅浆果: 190B  \cdot  {(1.85)}^{lvl}, 仅粮食: 240B  \cdot  {(1.85)}^{lvl} }$",种子壳容量+｛$lvl  \cdot  60$｝; 草容量+｛$lvl  \cdot  80$｝; 花瓣容量+｛$lvl  \cdot  25$｝,14
人造网,3,"${ 仅鲜花: 1T  \cdot  {(9)}^{lvl}, 瓢虫: \text{四舍五入}({(1.5)}^{lvl}  \cdot  100) }$",蜘蛛容量+｛$lvl  \cdot  4$｝,15
研究昆虫,10,"${ 仅浆果: 1.35T  \cdot  {(2.65)}^{lvl}, 蝴蝶: \text{四舍五入}({(1.25)}^{lvl}  \cdot  28) }$",作物经验*｛$lvl  \cdot  0.1 + 1$｝,15
蜂窝,20,"${ 仅鲜花: 22.5T  \cdot  {(1.4)}^{lvl}, 种子壳: \text{四舍五入}({(1.14)}^{lvl}  \cdot  280), 虫子: \text{四舍五入}({(1.16)}^{lvl}  \cdot  160) }$",蜘蛛容量+｛$lvl$｝; 蜜蜂容量+｛$lvl  \cdot  200$｝,16
黑暗角落,10,"${ 仅蔬菜: 175T  \cdot  {(1.75)}^{lvl}, 仅粮食: 300T  \cdot  {(1.6)}^{lvl}, 虫子: \text{四舍五入}({(1.24)}^{lvl}  \cdot  230) }$",蜘蛛容量+｛$lvl  \cdot  2$｝; 稀有掉率+｛$lvl  \cdot  0.01$｝,17
旗帜,1,"${ 蜘蛛: 50, 蜜蜂: 2500, 金色花瓣: 10 }$",旗帜farmBuilding｛$lvl$｝,18
虫饵,,"${ 草: \text{四舍五入}({(1.22)}^{lvl}  \cdot  1350), 花瓣: \text{四舍五入}({(1.16)}^{lvl}  \cdot  175), 蝴蝶: \text{四舍五入}({(1.16)}^{lvl}  \cdot  50) }$",仅蔬菜增益*｛$lvl  \cdot  0.05 + 1$｝; 虫子容量+｛$lvl  \cdot  20$｝; 瓢虫容量+｛$lvl  \cdot  35$｝,19
闪亮的土壤,,"${ 蜜蜂: \text{四舍五入}({(1.16)}^{lvl}  \cdot  4000), 金色花瓣: \text{四舍五入}(lvl  \cdot  0.3 + 5) }$",仅浆果增益*｛$lvl  \cdot  0.05 + 1$｝; 蝴蝶容量+｛$lvl  \cdot  4$｝,20
大肥料袋,1,${ 黄金: 2000 }$,分析肥料findConsumable｛$lvl >= 1$｝; 超级多汁findConsumable｛$lvl >= 1$｝; 颗粒findConsumable｛$lvl >= 1$｝,21
芝麻开门,,"${ 仅鲜花: 870Sx  \cdot  {(1.6)}^{lvl}, 小种子: \text{四舍五入}({(1.28)}^{lvl}  \cdot  225) }$",仅粮食增益*｛$lvl  \cdot  0.05 + 1$｝; 种子壳容量+｛$lvl  \cdot  50$｝; 小种子容量+｛$lvl  \cdot  150$｝,22
花卉绘画,,"${ 仅浆果: 92Sp  \cdot  {(1.6)}^{lvl}, 蜜蜂: \text{四舍五入}({(1.28)}^{lvl}  \cdot  6000) }$",仅鲜花增益*｛$lvl  \cdot  0.05 + 1$｝; 蜜蜂容量+｛$lvl  \cdot  150$｝,23
