名称,found,icon,grow,yield,rareDrop,tier,type,cost,giantGrow,giantMult,baseExp,specialEffect
redwheat,,"<i class=""mdi mdi-barley""></i>",[Unsupported Node: BinaryExpression],13000,种子壳currency｛68｝; 蜘蛛currency｛3｝,26,粮食,,,,,
poppy,,"<i class=""mdi mdi-flower-poppy""></i>",[Unsupported Node: BinaryExpression],1450,小种子currency｛2｝,27,花肥,,,,,
pumpkin,,"<i class=""mdi mdi-pumpkin""></i>",[Unsupported Node: BinaryExpression],13000,虫子currency｛30｝; 蜘蛛currency｛3｝,28,蔬菜,,,,,
blackberry,,"<i class=""mdi mdi-fruit-grapes""></i>",[Unsupported Node: BinaryExpression],6400,蜜蜂currency｛44｝; 小种子currency｛15｝,29,浆果,,,,,
millet,,"<i class=""mdi mdi-feather""></i>",[Unsupported Node: BinaryExpression],5300,种子壳currency｛16｝; 蜗牛currency｛4｝,30,粮食,,,,,
petunia,,"<i class=""mdi mdi-flower""></i>",[Unsupported Node: BinaryExpression],6800,蜗牛currency｛5｝; 花瓣currency｛14｝,31,花肥,,,,,
chili,,"<i class=""mdi mdi-chili-mild""></i>",[Unsupported Node: BinaryExpression],11500,蜗牛currency｛10｝,32,蔬菜,,,,,
fern,,"<i class=""mdi mdi-grass""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""farm_grass"":15}",[Unsupported Node: BinaryExpression],7,10,蔬菜增益mult｛$(lvl  \cdot  0.1 + 1)  \cdot  {(1.1)}^{lvl}$｝; 浆果增益mult｛$(lvl  \cdot  0.1 + 1)  \cdot  {(1.1)}^{lvl}$｝
reed,,"<i class=""mdi mdi-feather""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""黄金"":10}",[Unsupported Node: BinaryExpression],6,12,粮食增益mult｛$(lvl  \cdot  0.1 + 1)  \cdot  {(1.1)}^{lvl}$｝; 花肥增益mult｛$(lvl  \cdot  0.1 + 1)  \cdot  {(1.1)}^{lvl}$｝
wildflower,,"<i class=""mdi mdi-flower-pollen""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""farm_mixedSeeds"":1}",[Unsupported Node: BinaryExpression],10,25,产出mult｛$lvl  \cdot  0.04 + 1$｝
仙人掌,,"<i class=""mdi mdi-cactus""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""farm_cactusSeed"":1}",[Unsupported Node: BinaryExpression],4,7,作物经验mult｛$lvl  \cdot  0.03 + 1$｝
cress,,"<i class=""mdi mdi-leaf-circle-outline""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""小种子"":2}",[Unsupported Node: BinaryExpression],10,80,稀有掉率base｛$lvl  \cdot  0.01$｝
goldenRose,,"<i class=""mdi mdi-flower""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""黄金"":250}",[Unsupported Node: BinaryExpression],3,4,花瓣容量base｛$lvl  \cdot  50$｝
ancientFern,,"<i class=""mdi mdi-grass""></i>",[Unsupported Node: BinaryExpression],,,,special,"{""farm_ancientSeed"":1}",[Unsupported Node: BinaryExpression],3,1,
