名称,消耗,效果,上限
神圣森林,${ 祝福: {(1.65)}^{lvl}  \cdot  1800 }$,硬木增益*｛$lvl  \cdot  0.2 + 1$｝; 硬木容量*｛${(1.25)}^{lvl}$｝,
神圣宝石,${ 祝福: {(1.65)}^{lvl}  \cdot  1800 }$,宝石增益*｛$lvl  \cdot  0.2 + 1$｝; 宝石容量*｛${(1.25)}^{lvl}$｝,
更深层次的敬拜,${ 祝福: {(lvl  \cdot  0.15 + 1.75)}^{lvl}  \cdot  40K }$,信仰容量+｛$lvl  \cdot  20$｝; 信仰容量*｛${(1.3)}^{lvl}$｝,
神圣实验室,${ 祝福: {(1.85)}^{lvl}  \cdot  70K }$,科学增益*｛$lvl  \cdot  0.2 + 1$｝; 科学容量+｛$lvl  \cdot  10$｝,
慈善机构,${ 祝福: {(2.35)}^{lvl}  \cdot  120K }$,快乐增益*｛$lvl  \cdot  0.2 + 1$｝; 幸福+｛$lvl  \cdot  0.01$｝,
圣油,${ 祝福: {(1.65)}^{lvl}  \cdot  75M }$,油增益*｛$lvl  \cdot  0.2 + 1$｝; 油容量*｛${(1.25)}^{lvl}$｝,
神圣大理石,${ 祝福: {(1.65)}^{lvl}  \cdot  110M }$,大理石增益*｛$lvl  \cdot  0.2 + 1$｝; 大理石容量*｛${(1.25)}^{lvl}$｝,
平静的演讲,${ 祝福: {(0.08  \cdot  lvl + 1.8)}^{lvl}  \cdot  150M }$,污染耐受性+｛$lvl$｝,
神圣战利品,${ 祝福: {(1.65)}^{lvl}  \cdot  800M }$,战利品增益*｛${(1.05)}^{lvl}  \cdot  (lvl  \cdot  0.1 + 1)$｝,
神圣凿子,${ 祝福: {(0.05  \cdot  lvl + 1.5)}^{lvl}  \cdot  2.5B }$,战利品品质+｛$lvl  \cdot  2$｝,
雇佣工匠,"${ 股票: {(10)}^{getSequence(1, lvl})  \cdot  10 }$",工匠+｛$lvl$｝,
雇佣工人,${ 股票: {(lvl  \cdot  0.02 + 1.65)}^{lvl}  \cdot  5 }$,材料增益*｛${(1.05)}^{lvl}  \cdot  (lvl  \cdot  0.05 + 1)$｝,
雇佣会计师,${ 股票: {(1.9)}^{lvl}  \cdot  8 }$,铜币容量*｛${(1.75)}^{lvl}$｝,
配方书,${ 股票: {(2.5)}^{lvl}  \cdot  60 }$,箭头villageCraft｛$lvl >= 1$｝; 碗villageCraft｛$lvl >= 2$｝; 小宝箱villageCraft｛$lvl >= 3$｝; 链villageCraft｛$lvl >= 4$｝; 矛villageCraft｛$lvl >= 5$｝; 金戒指villageCraft｛$lvl >= 6$｝,6
广告活动,${ 股票: {(lvl  \cdot  0.05 + 1.9)}^{lvl}  \cdot  80 }$,铜币增益*｛${(1.1)}^{lvl}  \cdot  (lvl  \cdot  0.2 + 1)$｝,
雇佣探险家,"${ 股票: {(15)}^{getSequence(1, lvl})  \cdot  575 }$",特殊成分解锁｛$lvl >= 1$｝; 可找到的成分+｛$lvl > 1 ? lvl - 1 : null$｝; 成分每个箱子+｛$lvl > 1 ? 4  \cdot  (lvl - 1) : null$｝; 毒箭villageCraft｛$lvl >= 1$｝; 冰霜长矛villageCraft｛$lvl >= 2$｝; 麻辣汤villageCraft｛$lvl >= 3$｝; 秒表villageCraft｛$lvl >= 4$｝; 收到3成分盒子text｛$lvl$｝,4
雇佣园丁,${ 股票: {(1.75)}^{lvl}  \cdot  140 }$,植物纤维增益*｛$lvl  \cdot  0.1 + 1$｝; 木头增益*｛$lvl  \cdot  0.1 + 1$｝; 植物纤维容量*｛${(1.2)}^{lvl}$｝; 木头容量*｛${(1.2)}^{lvl}$｝,
雇佣矿工,${ 股票: {(1.75)}^{lvl}  \cdot  220 }$,石头增益*｛$lvl  \cdot  0.1 + 1$｝; 金属增益*｛$lvl  \cdot  0.1 + 1$｝; 石头容量*｛${(1.2)}^{lvl}$｝; 金属容量*｛${(1.2)}^{lvl}$｝,
雇佣调酒师,${ 股票: {(1.75)}^{lvl}  \cdot  335 }$,水增益*｛$lvl  \cdot  0.1 + 1$｝; 玻璃增益*｛$lvl  \cdot  0.1 + 1$｝; 水容量*｛${(1.2)}^{lvl}$｝; 玻璃容量*｛${(1.2)}^{lvl}$｝,
雇佣专家,${ 股票: {(1.75)}^{lvl}  \cdot  520 }$,硬木增益*｛$lvl  \cdot  0.1 + 1$｝; 宝石增益*｛$lvl  \cdot  0.1 + 1$｝; 硬木容量*｛${(1.2)}^{lvl}$｝; 宝石容量*｛${(1.2)}^{lvl}$｝,
